,Titles,NER
0,louis vuitton m40096 handbag priscilla multi-color canvas multi-color canvas,"(0, 13, 'Brand'),(14, 20, 'MPN'),(21, 28, 'Type'),(29, 38, 'Model'),(39, 50, 'Color'),(51, 57, 'Fabric Type'),(39, 50, 'Color'),(51, 57, 'Fabric Type')"
8,louis vuitton petit noe drawstring shoulder bag monogram leather m42226 39sd442,"(0, 13, 'Brand'),(14, 23, 'Model'),(24, 34, 'Closure'),(35, 43, 'Type'),(44, 47, 'Type'),(48, 56, 'Pattern'),(57, 64, 'Material'),(65, 71, 'MPN'),(72, 79, 'No Tag')"
17,louis vuitton damier azur pochette bosphore shoulder bag n51112 lv auth yt523,"(0, 13, 'Brand'),(14, 20, 'Product Line'),(21, 25, 'Color'),(26, 34, 'Product Line'),(35, 43, 'Model'),(44, 52, 'Type'),(53, 56, 'Type'),(57, 63, 'MPN'),(64, 66, 'Brand'),(67, 71, 'No Tag'),(72, 77, 'No Tag')"
28,gucci bamboo 2way shoulder bag leather brown auth fm1002,"(0, 5, 'Brand'),(6, 12, 'Product Line'),(13, 17, 'Features'),(18, 26, 'Type'),(27, 30, 'Type'),(31, 38, 'Material'),(39, 44, 'Color'),(45, 49, 'No Tag'),(50, 56, 'MPN')"
37,rank ab vintage gucci sherry line pvc leather clutch bag brown from japan a128,"(0, 4, 'No Tag'),(5, 7, 'No Tag'),(8, 15, 'No Tag'),(16, 21, 'Brand'),(22, 33, 'Product Line'),(34, 45, 'Material'),(46, 52, 'Type'),(53, 56, 'Type'),(57, 62, 'Color'),(63, 67, 'No Tag'),(68, 73, 'No Tag'),(74, 78, 'No Tag')"
49,1970s nyc bonnie cashin coach brown gray leather saddle pouch crossbody bag,"(0, 5, 'Theme'),(6, 9, 'Country/Region of Manufacture'),(10, 23, 'Model'),(24, 29, 'Brand'),(30, 35, 'Color'),(36, 40, 'Color'),(41, 48, 'Material'),(49, 55, 'Type'),(56, 61, 'Type'),(62, 71, 'Type'),(72, 75, 'Type')"
60,louis vuitton epi serviette fermoir business bag brown m54358 lv auth gt2071,"(0, 13, 'Brand'),(14, 17, 'Material'),(18, 35, 'Model'),(36, 44, 'Occasion'),(45, 48, 'Type'),(49, 54, 'Color'),(55, 61, 'MPN'),(62, 64, 'Brand'),(65, 69, 'No Tag'),(70, 76, 'No Tag')"
70,womens handbag,"(0, 6, 'Department'),(7, 14, 'Type')"
72,chanel leo lion flap bag chevron lambskin medium,"(0, 6, 'Brand'),(7, 15, 'Model'),(16, 20, 'Type'),(21, 24, 'Type'),(25, 32, 'Pattern'),(33, 41, 'Material'),(42, 48, 'Size')"
79,"gucci white "" hobo "" vintage handbag authenticated two tone "" genuine leather ""","(0, 5, 'Brand'),(6, 11, 'Color'),(29, 36, 'Type'),(37, 50, 'No Tag'),(51, 54, 'No Tag'),(55, 59, 'No Tag'),(70, 77, 'Material')"
86,"tumi women voyageur backpack black floral 15.5 "" x12 .25 "" 1100401041 tm-113","(5, 10, 'Department'),(11, 19, 'Model'),(20, 28, 'Type'),(29, 34, 'Color'),(35, 41, 'Pattern'),(42, 50, 'Measurement, dimension'),(70, 76, 'MPN')"
93,"louis vuitton epi marley mm m94615 women 's handbag , shoulder bag fuchsia bf531772","(0, 13, 'Brand'),(14, 17, 'Material'),(18, 27, 'Model'),(28, 34, 'MPN'),(35, 43, 'Department'),(44, 51, 'Type'),(52, 53, 'No Tag'),(54, 62, 'Type'),(48, 51, 'Type'),(67, 74, 'Color'),(75, 83, 'MPN')"
104,"auth louis vuitton monogram josephine pm blue mini lin hand bag 0j130140n ""","(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 27, 'Pattern'),(28, 40, 'Model'),(41, 45, 'Color'),(46, 50, 'Size'),(51, 54, 'No Tag'),(55, 63, 'Type'),(64, 76, 'No Tag')"
113,"women 's 16 "" h canvas backpack great designs - flower native owl safari dragonfly","(9, 11, 'Measurement, dimension'),(16, 22, 'Fabric Type'),(23, 31, 'Type'),(32, 37, 'No Tag'),(38, 45, 'No Tag'),(46, 47, 'No Tag'),(48, 54, 'Pattern'),(55, 61, 'Theme'),(62, 65, 'Pattern'),(66, 82, 'Theme')"
123,gucci logo gg pattern hand tote bag canvas leather black gold italy 30sd226,"(0, 5, 'Brand'),(6, 10, 'Accents'),(11, 13, 'Pattern'),(14, 21, 'No Tag'),(22, 26, 'Type'),(27, 31, 'Type'),(32, 35, 'Type'),(36, 42, 'Fabric Type'),(43, 50, 'Material'),(51, 56, 'Color'),(57, 61, 'Color'),(62, 67, 'Country/Region of Manufacture'),(68, 75, 'MPN')"
136,louis vuitton mini looping hand bag du2037 damier ebene n51158 sp order 71057,"(0, 13, 'Brand'),(14, 18, 'Size'),(19, 26, 'No Tag'),(27, 35, 'Type'),(36, 42, 'No Tag'),(43, 49, 'Product Line'),(50, 55, 'Color'),(56, 62, 'MPN'),(63, 65, 'No Tag'),(66, 71, 'No Tag'),(72, 77, 'No Tag')"
147,summer beach canvas tote bags with various floral printed designs,"(0, 6, 'Season'),(7, 12, 'Occasion'),(13, 19, 'Fabric Type'),(20, 24, 'Type'),(25, 29, 'Type'),(30, 34, 'No Tag'),(35, 42, 'No Tag'),(43, 49, 'Pattern'),(50, 57, 'Features'),(58, 65, 'No Tag')"
157,louis vuitton lymington bag ( new ),"(0, 13, 'Brand'),(14, 23, 'Model'),(24, 27, 'Type'),(28, 29, 'No Tag'),(30, 33, 'No Tag'),(34, 35, 'No Tag')"
163,chanel tote bag pink canvas 2418819,"(0, 6, 'Brand'),(7, 11, 'Type'),(12, 15, 'Type'),(16, 20, 'Color'),(21, 27, 'Fabric Type'),(28, 35, 'No Tag')"
